state,district,pincode,audit_status,total_txns,risk_reason,severity_score
Assam,Sivasagar,785684,HIGH RISK - Action Required,91.0,"Sustained High Speed, Abnormally Low Bio Updates",-0.01671335601659063
Delhi,South Delhi,110029,HIGH RISK - Action Required,88.0,"Sustained High Speed, Abnormally Low Bio Updates",-0.01671335601659063
Karnataka,Bengaluru Urban,560046,HIGH RISK - Action Required,89.0,"Sustained High Speed, Abnormally Low Bio Updates",-0.01671335601659063
Andhra Pradesh,Spsr Nellore,524305,HIGH RISK - Action Required,183.0,"Suspicious Weekend Activity, Sustained High Speed, Abnormally Low Bio Updates, Impossible Speed Spike",-0.01538040778212213
Andhra Pradesh,Spsr Nellore,524223,HIGH RISK - Action Required,81.0,"Sustained High Speed, Abnormally Low Bio Updates",-0.01520637396747393
Delhi,New Delhi,110037,HIGH RISK - Action Required,465.0,"Suspicious Weekend Activity, Sustained High Speed, Abnormally Low Bio Updates, Impossible Speed Spike",-0.012801684510439282
Karnataka,Bengaluru Urban,560097,HIGH RISK - Action Required,510.0,"Suspicious Weekend Activity, Sustained High Speed, Abnormally Low Bio Updates, Impossible Speed Spike",-0.012801684510439282
Gujarat,Dang,394710,HIGH RISK - Action Required,539.0,"Suspicious Weekend Activity, Sustained High Speed, Abnormally Low Bio Updates, Impossible Speed Spike",-0.012236217383812198
West Bengal,24 Paraganas North,700125,HIGH RISK - Action Required,480.0,"Suspicious Weekend Activity, Sustained High Speed, Abnormally Low Bio Updates, Impossible Speed Spike",-0.012236217383812198
Bihar,Purbi Champaran,845440,HIGH RISK - Action Required,451.0,"Suspicious Weekend Activity, Sustained High Speed, Abnormally Low Bio Updates, Impossible Speed Spike",-0.009170199412726565
Karnataka,Bengaluru Urban,560058,HIGH RISK - Action Required,463.0,"Suspicious Weekend Activity, Sustained High Speed, Abnormally Low Bio Updates, Impossible Speed Spike",-0.009170199412726565
Karnataka,Bengaluru Urban,562125,HIGH RISK - Action Required,464.0,"Suspicious Weekend Activity, Sustained High Speed, Abnormally Low Bio Updates, Impossible Speed Spike",-0.00767851262510344
Karnataka,Bengaluru Urban,560048,HIGH RISK - Action Required,464.0,"Suspicious Weekend Activity, Sustained High Speed, Abnormally Low Bio Updates, Impossible Speed Spike",-0.007181956153216373
West Bengal,Medinipur West,721201,HIGH RISK - Action Required,122.0,"Suspicious Weekend Activity, Sustained High Speed, Abnormally Low Bio Updates",-0.007018562316417176
Karnataka,Bengaluru Urban,562157,HIGH RISK - Action Required,69.0,"Sustained High Speed, Abnormally Low Bio Updates",-0.006516340857232961
Andhra Pradesh,Spsr Nellore,524002,HIGH RISK - Action Required,65.0,"Sustained High Speed, Abnormally Low Bio Updates",-0.006020570428916572
Andhra Pradesh,Spsr Nellore,524413,HIGH RISK - Action Required,65.0,"Sustained High Speed, Abnormally Low Bio Updates",-0.006020570428916572
Karnataka,Bengaluru Urban,560099,HIGH RISK - Action Required,455.0,"Suspicious Weekend Activity, Sustained High Speed, Abnormally Low Bio Updates, Impossible Speed Spike",-0.005694300927201246
